league,team_id,team_title,gameweek,h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,conceded,xpts,result,date,wins,draws,loses,pts,npxGD,adv_id,adv_title,forecast_w,forecast_d,forecast_l,xG_diff,xGA_diff
EPL,71,Aston Villa,1,a,2.6703,2.8047,2.6703,2.04353,11.3,9.33,8,5,2,1,1.2989000000000002,w,2024-08-17 16:30:00,1,0,0,3,0.62677,81,West Ham,0.4123,0.2321,0.3556,0.6703000000000001,1.8047
EPL,71,Aston Villa,2,h,1.31664,1.41399,1.31664,1.41399,17.28,5.83,3,10,0,2,1.2362000000000002,l,2024-08-24 16:30:00,0,0,1,0,-0.09735000000000005,83,Arsenal,0.3864,0.3023,0.3113,1.31664,-0.5860099999999999
EPL,71,Aston Villa,3,a,2.16385,0.774741,2.16385,0.774741,10.47,6.4,6,3,2,1,2.448,w,2024-08-31 14:00:00,1,0,0,3,1.389109,75,Leicester,0.0646,0.1791,0.7563,0.16385000000000005,-0.225259
EPL,71,Aston Villa,4,h,3.15876,0.852158,3.15876,0.852158,5.26,16.33,9,3,3,2,2.7595,w,2024-09-14 16:30:00,1,0,0,3,2.306602,72,Everton,0.0243,0.0838,0.8919,0.15876,-1.147842
EPL,71,Aston Villa,5,h,2.37351,0.520117,2.37351,0.520117,11.8,13.5,9,4,3,1,2.6481,w,2024-09-21 14:00:00,1,0,0,3,1.853393,229,Wolverhampton Wanderers,0.0417,0.1134,0.8449,-0.62649,-0.47988299999999995
EPL,71,Aston Villa,6,a,1.14494,1.84608,1.14494,1.84608,11.91,16.56,5,6,2,2,0.8247,d,2024-09-29 13:00:00,0,1,0,1,-0.7011399999999999,285,Ipswich,0.5579,0.2508,0.1913,-0.8550599999999999,-0.15392000000000006
EPL,71,Aston Villa,7,h,0.532809,0.448537,0.532809,0.448537,14.21,13.88,9,1,0,0,1.3408,d,2024-10-06 13:00:00,0,1,0,1,0.08427199999999996,89,Manchester United,0.241,0.4681,0.2909,0.532809,0.448537
EPL,72,Everton,1,h,0.405325,1.79083,0.405325,1.79083,18.33,7.92,4,5,0,3,0.30779999999999996,l,2024-08-17 14:00:00,0,0,1,0,-1.385505,220,Brighton,0.7884,0.1635,0.0481,0.405325,-1.20917
EPL,72,Everton,2,a,0.648869,2.61143,0.648869,2.61143,12.72,6.3,5,9,0,4,0.2558,l,2024-08-24 14:00:00,0,0,1,0,-1.962561,82,Tottenham,0.8398,0.1124,0.0478,0.648869,-1.38857
EPL,72,Everton,3,h,2.55629,2.95688,2.55629,2.95688,8.3,7.1,15,7,2,3,1.1241,l,2024-08-31 14:00:00,0,0,1,0,-0.4005899999999998,73,Bournemouth,0.4813,0.216,0.3027,0.5562900000000002,-0.04312000000000005
EPL,72,Everton,4,a,0.852158,3.15876,0.852158,3.15876,16.33,5.26,3,9,2,3,0.1567,l,2024-09-14 16:30:00,0,0,1,0,-2.306602,71,Aston Villa,0.8919,0.0838,0.0243,-1.147842,0.15876
EPL,72,Everton,5,a,1.82377,1.33793,1.82377,1.33793,19.31,8.42,6,8,1,1,1.6985,d,2024-09-21 14:00:00,0,1,0,1,0.4858399999999998,75,Leicester,0.2591,0.2621,0.4788,0.8237699999999999,0.33793000000000006
EPL,72,Everton,6,h,1.10959,1.12358,1.10959,1.12358,12.5,9.33,6,8,2,1,1.3309,w,2024-09-28 14:00:00,1,0,0,3,-0.013989999999999947,78,Crystal Palace,0.3467,0.3145,0.3388,-0.8904099999999999,0.12358000000000002
EPL,72,Everton,7,h,0.692214,1.79048,0.692214,1.02931,15.77,5.86,3,11,0,0,0.4902,d,2024-10-05 16:30:00,0,1,0,1,-0.33709599999999995,86,Newcastle United,0.672,0.2469,0.0811,0.692214,1.79048
EPL,73,Bournemouth,1,a,1.90915,1.24405,1.90915,1.24405,9.95,8.65,4,10,1,1,1.8944000000000003,d,2024-08-17 14:00:00,0,1,0,1,0.6650999999999998,249,Nottingham Forest,0.1994,0.2537,0.5469,0.9091499999999999,0.2440500000000001
